is_smell,CountDeclMethod,CountDeclMethodPrivate,CountDeclMethodPublic,CountLine,MaxInheritanceTree,SumCyclomaticStrict
False,2.0,0.0,2.0,29.0,2.0,2.0
False,5.0,0.0,5.0,26.0,2.0,4.0
False,4.0,1.0,1.0,41.0,1.0,4.0
False,2.0,0.0,1.0,7.0,2.0,2.0
False,1.0,0.0,1.0,16.0,1.0,1.0
False,2.0,0.0,2.0,17.0,3.0,2.0
False,1.0,0.0,1.0,238.0,3.0,1.0
False,28.0,4.0,23.0,289.0,2.0,48.0
False,1.0,0.0,0.0,34.0,1.0,1.0
False,10.0,0.0,7.0,61.0,2.0,12.0
False,18.0,1.0,7.0,265.0,2.0,65.0
False,2.0,1.0,1.0,64.0,1.0,2.0
False,15.0,2.0,5.0,486.0,1.0,54.0
False,4.0,1.0,3.0,77.0,2.0,4.0
False,2.0,0.0,2.0,39.0,2.0,3.0
False,2.0,0.0,2.0,14.0,1.0,2.0
False,2.0,0.0,2.0,14.0,1.0,2.0
False,2.0,0.0,2.0,30.0,2.0,2.0
False,2.0,1.0,1.0,23.0,1.0,2.0
False,4.0,0.0,0.0,41.0,0.0,0.0
False,4.0,0.0,4.0,45.0,1.0,6.0
False,8.0,7.0,1.0,518.0,2.0,10.0
False,21.0,1.0,20.0,320.0,1.0,37.0
False,2.0,0.0,1.0,61.0,2.0,2.0
False,1.0,0.0,1.0,11.0,1.0,1.0
False,1.0,0.0,1.0,26.0,1.0,1.0
False,1.0,0.0,1.0,10.0,1.0,1.0
False,18.0,0.0,18.0,144.0,1.0,26.0
False,4.0,0.0,0.0,13.0,1.0,0.0
False,9.0,2.0,7.0,92.0,1.0,11.0
False,9.0,1.0,0.0,146.0,1.0,18.0
False,5.0,1.0,4.0,44.0,6.0,5.0
True,15.0,0.0,15.0,282.0,2.0,38.0
False,2.0,0.0,2.0,34.0,1.0,4.0
False,3.0,1.0,2.0,41.0,1.0,11.0
False,3.0,0.0,1.0,242.0,3.0,51.0
False,2.0,0.0,2.0,14.0,2.0,3.0
False,2.0,0.0,2.0,15.0,1.0,3.0
False,1.0,0.0,1.0,42.0,1.0,12.0
True,6.0,0.0,3.0,84.0,3.0,7.0
False,2.0,0.0,1.0,13.0,1.0,2.0
False,4.0,0.0,0.0,47.0,1.0,9.0
False,9.0,8.0,0.0,456.0,1.0,100.0
False,4.0,2.0,2.0,150.0,2.0,26.0
False,5.0,2.0,3.0,154.0,1.0,8.0
False,0.0,0.0,0.0,36.0,1.0,0.0
True,41.0,16.0,25.0,792.0,1.0,121.0
False,3.0,0.0,0.0,30.0,1.0,5.0
False,19.0,0.0,17.0,175.0,1.0,39.0
False,9.0,0.0,9.0,71.0,1.0,9.0
False,2.0,0.0,2.0,22.0,2.0,3.0
False,10.0,0.0,0.0,87.0,0.0,0.0
False,2.0,0.0,2.0,12.0,1.0,2.0
False,3.0,0.0,1.0,20.0,3.0,5.0
False,5.0,0.0,5.0,31.0,1.0,8.0
False,4.0,0.0,2.0,26.0,3.0,4.0
False,2.0,0.0,2.0,29.0,1.0,3.0
False,10.0,0.0,10.0,117.0,1.0,14.0
False,1.0,0.0,0.0,37.0,2.0,1.0
False,7.0,0.0,7.0,80.0,0.0,0.0
False,1.0,0.0,1.0,15.0,3.0,1.0
False,17.0,0.0,17.0,164.0,2.0,21.0
False,14.0,3.0,11.0,332.0,1.0,36.0
True,3.0,0.0,3.0,28.0,2.0,3.0
True,5.0,0.0,4.0,43.0,1.0,8.0
False,2.0,0.0,2.0,19.0,1.0,3.0
False,2.0,0.0,2.0,26.0,2.0,2.0
False,9.0,1.0,8.0,150.0,2.0,24.0
False,17.0,6.0,11.0,214.0,1.0,36.0
False,2.0,0.0,1.0,24.0,2.0,4.0
True,8.0,0.0,8.0,79.0,1.0,8.0
False,2.0,0.0,2.0,14.0,1.0,2.0
False,2.0,0.0,2.0,14.0,1.0,2.0
False,6.0,0.0,6.0,32.0,1.0,6.0
False,5.0,0.0,5.0,120.0,1.0,25.0
True,6.0,0.0,6.0,58.0,1.0,6.0
True,6.0,0.0,6.0,52.0,1.0,6.0
True,36.0,2.0,26.0,411.0,2.0,56.0
False,15.0,13.0,2.0,156.0,1.0,29.0
True,5.0,0.0,5.0,35.0,1.0,5.0
False,15.0,8.0,2.0,348.0,3.0,52.0
False,6.0,0.0,6.0,81.0,2.0,7.0
False,4.0,1.0,3.0,171.0,1.0,8.0
False,2.0,0.0,0.0,40.0,2.0,9.0
False,1.0,0.0,1.0,16.0,4.0,2.0
False,2.0,0.0,2.0,13.0,1.0,2.0
False,7.0,0.0,7.0,44.0,1.0,7.0
False,0.0,0.0,0.0,4.0,1.0,0.0
False,3.0,0.0,3.0,46.0,2.0,5.0
False,7.0,0.0,7.0,81.0,1.0,10.0
False,1.0,0.0,1.0,27.0,1.0,4.0
False,7.0,5.0,2.0,226.0,1.0,25.0
True,2.0,0.0,1.0,20.0,1.0,2.0
False,4.0,0.0,4.0,138.0,2.0,21.0
True,4.0,0.0,4.0,31.0,1.0,5.0
True,4.0,0.0,4.0,27.0,1.0,4.0
False,3.0,0.0,3.0,17.0,2.0,3.0
False,1.0,0.0,1.0,7.0,1.0,1.0
False,5.0,0.0,4.0,57.0,4.0,7.0
False,1.0,0.0,1.0,14.0,4.0,2.0
False,3.0,0.0,3.0,11.0,0.0,0.0
False,10.0,3.0,7.0,365.0,2.0,12.0
False,11.0,1.0,7.0,246.0,2.0,32.0
False,8.0,0.0,6.0,166.0,6.0,24.0
True,14.0,0.0,14.0,203.0,1.0,16.0
True,3.0,0.0,3.0,37.0,3.0,3.0
False,1.0,0.0,1.0,6.0,1.0,0.0
False,24.0,21.0,3.0,506.0,1.0,121.0
True,1.0,1.0,0.0,29.0,2.0,1.0
False,2.0,0.0,2.0,28.0,3.0,2.0
False,2.0,1.0,1.0,33.0,1.0,3.0
False,3.0,0.0,3.0,26.0,0.0,0.0
False,10.0,0.0,10.0,88.0,1.0,13.0
True,9.0,0.0,9.0,138.0,1.0,15.0
False,9.0,0.0,9.0,52.0,1.0,9.0
False,1.0,0.0,1.0,79.0,1.0,21.0
False,2.0,0.0,2.0,234.0,2.0,2.0
False,3.0,0.0,3.0,45.0,1.0,3.0
False,122.0,0.0,0.0,2551.0,2.0,0.0
False,9.0,0.0,9.0,96.0,1.0,9.0
False,3.0,0.0,3.0,28.0,1.0,3.0
False,3.0,0.0,3.0,42.0,1.0,3.0
False,4.0,0.0,2.0,90.0,2.0,5.0
False,1.0,0.0,1.0,11.0,1.0,1.0
False,1.0,0.0,1.0,13.0,1.0,1.0
False,5.0,0.0,3.0,154.0,1.0,6.0
False,3.0,0.0,3.0,44.0,1.0,3.0
False,2.0,1.0,1.0,31.0,3.0,2.0
False,3.0,0.0,3.0,133.0,1.0,6.0
False,0.0,0.0,0.0,81.0,2.0,0.0
False,1.0,0.0,1.0,13.0,1.0,1.0
False,2.0,1.0,1.0,26.0,3.0,3.0
False,11.0,3.0,8.0,267.0,1.0,11.0
False,2.0,1.0,1.0,32.0,1.0,4.0
False,2.0,0.0,1.0,18.0,3.0,2.0
False,2.0,0.0,0.0,18.0,5.0,2.0
False,2.0,1.0,0.0,36.0,1.0,5.0
False,6.0,6.0,0.0,38.0,1.0,6.0
False,3.0,0.0,2.0,17.0,1.0,3.0
False,5.0,0.0,0.0,82.0,2.0,6.0
False,3.0,0.0,3.0,29.0,2.0,3.0
False,2.0,0.0,2.0,58.0,1.0,15.0
False,1.0,0.0,1.0,19.0,1.0,2.0
False,0.0,0.0,0.0,2.0,1.0,0.0
True,2.0,0.0,0.0,27.0,1.0,2.0
False,8.0,3.0,2.0,109.0,1.0,38.0
False,4.0,0.0,4.0,23.0,1.0,4.0
False,7.0,0.0,7.0,27.0,1.0,7.0
False,7.0,4.0,3.0,164.0,1.0,31.0
False,10.0,1.0,9.0,67.0,3.0,14.0
False,3.0,0.0,0.0,13.0,0.0,4.0
False,4.0,0.0,0.0,67.0,2.0,4.0
True,26.0,3.0,20.0,583.0,2.0,55.0
False,4.0,1.0,3.0,102.0,1.0,6.0
False,3.0,1.0,2.0,31.0,6.0,4.0
False,10.0,8.0,2.0,320.0,2.0,57.0
False,2.0,0.0,0.0,31.0,6.0,6.0
False,0.0,0.0,0.0,161.0,1.0,0.0
False,4.0,0.0,4.0,73.0,8.0,4.0
False,8.0,1.0,7.0,65.0,6.0,15.0
False,1.0,0.0,1.0,12.0,4.0,3.0
False,6.0,1.0,0.0,156.0,2.0,9.0
True,4.0,0.0,4.0,23.0,1.0,4.0
False,2.0,1.0,1.0,18.0,1.0,4.0
False,3.0,0.0,2.0,19.0,4.0,3.0
False,4.0,0.0,2.0,36.0,4.0,6.0
False,16.0,6.0,9.0,289.0,2.0,38.0
True,9.0,0.0,8.0,98.0,2.0,9.0
False,27.0,0.0,0.0,285.0,2.0,2.0
False,2.0,0.0,0.0,9.0,1.0,2.0
True,22.0,0.0,21.0,420.0,2.0,45.0
False,4.0,0.0,4.0,46.0,1.0,7.0
False,1.0,0.0,1.0,15.0,2.0,2.0
True,18.0,0.0,18.0,103.0,1.0,18.0
True,8.0,0.0,8.0,43.0,1.0,8.0
False,6.0,2.0,3.0,97.0,1.0,19.0
False,3.0,0.0,1.0,33.0,1.0,6.0
False,4.0,0.0,3.0,33.0,2.0,4.0
False,6.0,2.0,4.0,91.0,1.0,12.0
False,2.0,1.0,0.0,42.0,2.0,6.0
False,3.0,1.0,1.0,36.0,2.0,3.0
True,6.0,0.0,5.0,36.0,3.0,6.0
False,5.0,0.0,3.0,52.0,2.0,8.0
False,12.0,2.0,10.0,174.0,1.0,39.0
True,1.0,0.0,1.0,27.0,1.0,1.0
True,15.0,0.0,15.0,86.0,1.0,15.0
True,28.0,0.0,28.0,149.0,1.0,28.0
False,7.0,1.0,6.0,140.0,1.0,23.0
False,2.0,0.0,2.0,50.0,1.0,10.0
False,3.0,0.0,3.0,38.0,2.0,7.0
False,2.0,0.0,2.0,24.0,2.0,5.0
False,4.0,1.0,3.0,86.0,1.0,9.0
False,6.0,4.0,2.0,154.0,2.0,21.0
False,7.0,6.0,1.0,156.0,1.0,21.0
False,3.0,0.0,1.0,35.0,4.0,7.0
False,3.0,0.0,3.0,60.0,1.0,4.0
True,0.0,0.0,0.0,4.0,1.0,0.0
False,11.0,0.0,10.0,88.0,1.0,8.0
True,0.0,0.0,0.0,13.0,1.0,0.0
False,16.0,0.0,16.0,165.0,2.0,19.0
False,2.0,0.0,1.0,40.0,2.0,8.0
False,10.0,0.0,10.0,200.0,1.0,26.0
False,22.0,1.0,21.0,131.0,1.0,24.0
True,4.0,0.0,4.0,38.0,1.0,4.0
False,1.0,0.0,1.0,11.0,1.0,3.0
False,4.0,0.0,4.0,27.0,1.0,4.0
False,4.0,0.0,4.0,41.0,2.0,4.0
True,3.0,0.0,2.0,19.0,1.0,3.0
True,3.0,0.0,2.0,19.0,1.0,3.0
False,3.0,0.0,2.0,19.0,1.0,3.0
False,3.0,0.0,2.0,19.0,1.0,3.0
True,3.0,0.0,2.0,19.0,1.0,3.0
True,3.0,0.0,2.0,19.0,1.0,3.0
True,3.0,0.0,2.0,19.0,1.0,3.0
True,3.0,0.0,2.0,19.0,1.0,3.0
True,3.0,0.0,2.0,19.0,1.0,3.0
True,3.0,0.0,2.0,19.0,1.0,3.0
False,1.0,0.0,0.0,4.0,2.0,0.0
False,1.0,0.0,0.0,4.0,2.0,0.0
False,1.0,0.0,0.0,4.0,2.0,0.0
False,1.0,0.0,0.0,4.0,2.0,0.0
False,1.0,0.0,0.0,4.0,2.0,0.0
False,1.0,0.0,1.0,4.0,1.0,1.0
False,1.0,0.0,1.0,4.0,1.0,1.0
False,1.0,0.0,1.0,4.0,1.0,1.0
False,1.0,0.0,1.0,4.0,1.0,1.0
False,1.0,0.0,1.0,4.0,1.0,1.0
False,1.0,0.0,1.0,4.0,1.0,1.0
False,4.0,0.0,3.0,67.0,3.0,9.0
False,1.0,0.0,1.0,11.0,3.0,1.0
False,13.0,4.0,1.0,271.0,3.0,60.0
True,43.0,5.0,37.0,685.0,2.0,189.0
False,1.0,1.0,0.0,12.0,2.0,1.0
False,11.0,0.0,11.0,81.0,2.0,19.0
False,2.0,0.0,1.0,77.0,2.0,7.0
False,10.0,0.0,10.0,199.0,2.0,13.0
False,6.0,0.0,0.0,63.0,0.0,0.0
False,5.0,0.0,2.0,234.0,1.0,9.0
False,1.0,0.0,1.0,6.0,4.0,1.0
False,1.0,0.0,1.0,12.0,3.0,1.0
True,4.0,0.0,3.0,123.0,2.0,4.0
False,6.0,4.0,1.0,105.0,1.0,15.0
True,5.0,1.0,4.0,45.0,1.0,11.0
False,1.0,0.0,0.0,42.0,1.0,1.0
False,8.0,1.0,7.0,201.0,2.0,26.0
False,4.0,0.0,4.0,18.0,3.0,4.0
False,0.0,0.0,0.0,34.0,0.0,0.0
False,7.0,0.0,6.0,203.0,2.0,24.0
False,3.0,0.0,3.0,41.0,4.0,3.0
False,11.0,0.0,1.0,122.0,3.0,17.0
True,3.0,0.0,3.0,42.0,1.0,4.0
False,7.0,0.0,7.0,52.0,3.0,17.0
False,3.0,0.0,3.0,15.0,1.0,3.0
False,25.0,0.0,25.0,211.0,3.0,31.0
False,22.0,2.0,0.0,434.0,3.0,87.0
False,63.0,12.0,46.0,1679.0,1.0,149.0
False,5.0,0.0,5.0,89.0,1.0,6.0
False,1.0,1.0,0.0,56.0,1.0,1.0
False,7.0,0.0,0.0,77.0,0.0,0.0
False,3.0,0.0,0.0,12.0,0.0,1.0
False,57.0,0.0,57.0,434.0,1.0,2.0
True,8.0,0.0,8.0,110.0,2.0,12.0
True,7.0,0.0,7.0,79.0,1.0,9.0
True,5.0,0.0,5.0,61.0,1.0,7.0
False,1.0,0.0,0.0,30.0,2.0,1.0
False,5.0,0.0,5.0,66.0,1.0,8.0
False,5.0,0.0,5.0,60.0,1.0,7.0
False,5.0,0.0,5.0,48.0,1.0,5.0
True,17.0,0.0,17.0,179.0,1.0,21.0
True,13.0,0.0,13.0,138.0,1.0,17.0
False,7.0,0.0,7.0,79.0,1.0,9.0
False,13.0,0.0,13.0,392.0,3.0,13.0
True,9.0,0.0,9.0,83.0,1.0,9.0
False,30.0,0.0,30.0,235.0,1.0,65.0
False,4.0,0.0,0.0,18.0,0.0,0.0
False,1.0,0.0,1.0,231.0,2.0,52.0
False,3.0,0.0,3.0,41.0,1.0,4.0
False,2.0,0.0,1.0,12.0,2.0,2.0
True,3.0,0.0,1.0,21.0,1.0,2.0
False,2.0,0.0,0.0,6.0,0.0,0.0
False,13.0,2.0,11.0,240.0,2.0,46.0
True,11.0,0.0,10.0,74.0,1.0,13.0
False,3.0,0.0,3.0,24.0,2.0,3.0
False,7.0,1.0,4.0,183.0,1.0,41.0
True,8.0,0.0,8.0,40.0,1.0,8.0
False,3.0,0.0,3.0,27.0,2.0,4.0
False,5.0,0.0,3.0,32.0,2.0,8.0
False,1.0,0.0,1.0,50.0,1.0,8.0
False,3.0,0.0,3.0,27.0,2.0,4.0
False,5.0,0.0,3.0,32.0,2.0,8.0
False,5.0,0.0,3.0,30.0,2.0,7.0
False,3.0,1.0,2.0,51.0,1.0,9.0
False,1.0,0.0,0.0,4.0,0.0,0.0
False,0.0,0.0,0.0,16.0,1.0,0.0
False,53.0,10.0,41.0,1031.0,1.0,167.0
False,3.0,0.0,3.0,29.0,1.0,6.0
False,8.0,4.0,4.0,59.0,2.0,12.0
False,6.0,0.0,6.0,81.0,1.0,18.0
False,1.0,0.0,1.0,126.0,1.0,16.0
False,0.0,0.0,0.0,3.0,2.0,0.0
True,2.0,0.0,2.0,98.0,2.0,33.0
True,3.0,0.0,3.0,18.0,1.0,3.0
False,14.0,1.0,13.0,167.0,1.0,19.0
True,10.0,0.0,10.0,67.0,2.0,10.0
False,50.0,8.0,41.0,783.0,2.0,147.0
False,2.0,0.0,1.0,40.0,1.0,2.0
True,9.0,0.0,9.0,92.0,1.0,10.0
False,18.0,0.0,18.0,101.0,3.0,21.0
True,13.0,0.0,0.0,37.0,0.0,0.0
True,7.0,0.0,7.0,96.0,3.0,9.0
False,7.0,0.0,7.0,117.0,4.0,7.0
False,3.0,0.0,0.0,64.0,1.0,6.0
False,5.0,0.0,4.0,71.0,2.0,5.0
False,5.0,0.0,4.0,71.0,2.0,5.0
False,4.0,0.0,3.0,29.0,2.0,8.0
False,10.0,0.0,10.0,113.0,1.0,17.0
False,4.0,0.0,3.0,23.0,2.0,5.0
True,5.0,0.0,5.0,23.0,1.0,5.0
False,1.0,0.0,1.0,35.0,1.0,1.0
False,5.0,0.0,5.0,51.0,1.0,13.0
False,2.0,1.0,1.0,34.0,1.0,3.0
False,6.0,2.0,4.0,119.0,1.0,15.0
True,2.0,0.0,0.0,21.0,0.0,0.0
False,6.0,0.0,6.0,86.0,1.0,10.0
False,4.0,1.0,3.0,99.0,1.0,8.0
False,7.0,0.0,7.0,43.0,1.0,7.0
True,35.0,0.0,35.0,283.0,1.0,41.0
False,3.0,0.0,3.0,41.0,2.0,3.0
False,1.0,0.0,1.0,24.0,1.0,3.0
False,2.0,0.0,2.0,48.0,1.0,2.0
True,6.0,0.0,6.0,100.0,2.0,7.0
True,4.0,0.0,4.0,56.0,2.0,4.0
True,19.0,1.0,15.0,272.0,1.0,34.0
False,2.0,0.0,2.0,99.0,4.0,5.0
False,1.0,0.0,1.0,54.0,2.0,0.0
True,6.0,0.0,6.0,46.0,2.0,6.0
False,14.0,1.0,13.0,207.0,2.0,20.0
False,9.0,0.0,0.0,72.0,0.0,5.0
True,2.0,0.0,2.0,19.0,2.0,2.0
False,13.0,0.0,13.0,94.0,1.0,16.0
False,9.0,2.0,6.0,280.0,2.0,30.0
False,0.0,0.0,0.0,20.0,2.0,0.0
False,9.0,1.0,4.0,151.0,2.0,13.0
False,4.0,0.0,3.0,56.0,2.0,11.0
True,8.0,0.0,8.0,44.0,1.0,8.0
False,1.0,0.0,0.0,27.0,1.0,1.0
False,2.0,0.0,2.0,5.0,0.0,0.0
False,8.0,0.0,8.0,45.0,1.0,9.0
False,4.0,1.0,3.0,42.0,1.0,4.0
False,2.0,0.0,1.0,34.0,1.0,3.0
False,2.0,0.0,2.0,14.0,1.0,2.0
False,3.0,0.0,3.0,58.0,1.0,6.0
False,11.0,0.0,11.0,208.0,1.0,28.0
False,8.0,0.0,8.0,76.0,1.0,14.0
False,4.0,0.0,4.0,36.0,1.0,5.0
False,31.0,14.0,17.0,248.0,2.0,45.0
False,8.0,0.0,3.0,50.0,3.0,8.0
False,2.0,0.0,2.0,30.0,3.0,2.0
False,2.0,0.0,2.0,73.0,3.0,2.0
False,11.0,7.0,3.0,266.0,1.0,46.0
False,6.0,0.0,0.0,50.0,0.0,0.0
False,3.0,0.0,3.0,38.0,1.0,3.0
False,3.0,0.0,3.0,20.0,1.0,3.0
True,10.0,1.0,9.0,74.0,1.0,12.0
False,5.0,0.0,4.0,91.0,1.0,16.0
False,3.0,0.0,3.0,37.0,1.0,4.0
False,1.0,0.0,1.0,21.0,1.0,2.0
False,7.0,3.0,3.0,248.0,1.0,14.0
False,2.0,0.0,0.0,5.0,0.0,0.0
True,7.0,0.0,7.0,41.0,1.0,12.0
False,2.0,1.0,1.0,12.0,1.0,2.0
False,4.0,0.0,4.0,58.0,1.0,5.0
False,3.0,0.0,3.0,52.0,1.0,8.0
False,7.0,0.0,7.0,75.0,4.0,7.0
False,5.0,0.0,3.0,46.0,10.0,5.0
False,12.0,0.0,12.0,280.0,2.0,40.0
True,3.0,0.0,3.0,50.0,1.0,3.0
False,1.0,0.0,0.0,16.0,2.0,1.0
False,1.0,0.0,1.0,25.0,2.0,5.0
False,3.0,1.0,2.0,43.0,1.0,5.0
False,5.0,2.0,3.0,113.0,1.0,6.0
False,8.0,1.0,6.0,58.0,3.0,10.0
False,3.0,0.0,3.0,41.0,1.0,5.0
False,5.0,2.0,3.0,91.0,1.0,11.0
False,2.0,0.0,2.0,33.0,3.0,3.0
False,4.0,1.0,2.0,203.0,1.0,4.0
False,2.0,0.0,2.0,15.0,1.0,2.0
False,2.0,0.0,2.0,13.0,1.0,2.0
False,10.0,1.0,9.0,145.0,1.0,19.0
False,1.0,0.0,1.0,7.0,2.0,1.0
False,3.0,0.0,3.0,22.0,2.0,3.0
False,4.0,0.0,4.0,61.0,1.0,10.0
False,7.0,0.0,0.0,15.0,1.0,0.0
True,4.0,0.0,3.0,36.0,2.0,4.0
False,39.0,27.0,10.0,1837.0,1.0,193.0
False,3.0,0.0,1.0,22.0,1.0,3.0
False,11.0,1.0,1.0,79.0,2.0,13.0
False,7.0,0.0,0.0,55.0,1.0,0.0
False,2.0,0.0,2.0,42.0,1.0,4.0
False,15.0,0.0,2.0,158.0,1.0,16.0
False,27.0,3.0,11.0,644.0,1.0,54.0
False,5.0,0.0,0.0,40.0,0.0,0.0
False,3.0,0.0,1.0,47.0,0.0,2.0
False,2.0,0.0,2.0,44.0,1.0,6.0
False,6.0,0.0,0.0,58.0,2.0,0.0
