CountDeclMethod,CountDeclMethodPrivate,CountDeclMethodPublic,CountLine,MaxInheritanceTree,SumCyclomaticStrict,is_smell
6,0,7,61,1,8,FALSE
6,0,6,26,1,6,FALSE
16,6,10,561,1,56,TRUE
10,0,10,90,1,14,FALSE
31,6,24,1142,1,138,TRUE
7,0,0,33,2,7,FALSE
8,0,0,38,1,8,FALSE
12,0,0,56,1,12,FALSE
14,0,0,65,1,14,FALSE
10,0,0,47,1,10,FALSE
6,1,4,59,4,11,FALSE
1,0,1,5,1,1,FALSE
17,7,9,695,1,179,TRUE
8,3,5,125,1,31,FALSE
65,11,54,2137,1,464,TRUE
35,29,6,1690,2,304,TRUE
16,12,4,590,1,95,TRUE
13,7,6,531,1,51,TRUE
14,3,11,250,6,17,FALSE
68,40,28,1867,6,184,TRUE
59,18,41,1097,2,203,TRUE
2,0,3,12,1,2,FALSE
4,1,3,29,1,4,FALSE
9,0,8,94,1,9,FALSE
12,0,11,290,1,21,FALSE
2,0,3,47,1,3,FALSE
9,0,9,117,1,10,FALSE
73,1,71,1812,3,234,TRUE
1,0,1,24,1,1,FALSE
9,1,8,131,1,12,FALSE
14,4,10,255,1,30,FALSE
8,0,7,88,1,10,FALSE
8,0,7,155,1,17,FALSE
23,0,0,149,1,30,FALSE
18,4,14,2165,2,196,TRUE
2,0,2,21,2,2,FALSE
3,1,2,31,3,3,FALSE
104,0,22,1526,1,174,TRUE
10,0,8,227,5,17,FALSE
2,0,0,24,1,4,FALSE
11,0,11,58,1,11,FALSE
38,10,27,745,2,150,TRUE
89,3,65,2078,5,136,TRUE
25,0,7,596,2,69,FALSE
55,35,13,2214,2,264,TRUE
24,0,11,1231,2,138,TRUE
11,0,1,121,1,13,FALSE
50,33,10,2044,2,219,TRUE
9,0,9,75,1,9,FALSE
2,0,2,129,2,26,FALSE
5,0,5,120,1,5,FALSE
15,0,15,97,1,15,FALSE
8,0,0,47,1,8,FALSE
72,7,61,1550,1,193,TRUE
40,1,17,1127,1,164,TRUE
3,0,3,29,1,7,FALSE
6,0,7,61,1,6,FALSE
157,4,91,3877,1,435,TRUE
31,1,12,1399,1,332,TRUE
21,8,12,1381,1,166,TRUE
9,0,9,177,1,31,FALSE
6,0,5,36,2,6,FALSE
7,0,7,21,1,7,FALSE
7,0,7,20,1,7,FALSE
1,0,0,16,1,1,FALSE
1,1,0,71,1,1,FALSE
8,5,4,269,1,24,FALSE
11,1,8,382,1,47,FALSE
15,1,14,175,1,16,FALSE
25,17,8,1157,2,119,TRUE
5,0,5,35,1,5,FALSE
62,52,6,2958,2,390,TRUE
10,0,11,109,1,10,FALSE
26,8,15,1184,1,136,TRUE
7,0,8,44,1,7,FALSE
45,3,27,1065,4,200,TRUE
139,3,115,2907,1,485,TRUE
18,0,18,179,1,18,FALSE
7,0,5,98,2,10,FALSE
2,0,2,44,1,3,FALSE
5,0,5,26,1,6,FALSE
7,0,7,44,1,9,FALSE
8,0,8,32,1,8,FALSE
6,0,7,24,1,6,FALSE
6,0,7,25,1,6,FALSE
7,0,7,29,1,7,FALSE
6,0,7,24,1,6,FALSE
6,0,6,23,1,6,FALSE
8,0,8,31,1,8,FALSE
1,0,1,3,1,1,FALSE
1,0,1,3,1,1,FALSE
1,0,0,230,1,1,FALSE
1,0,0,110,1,1,FALSE
5,3,2,214,2,29,FALSE
7,1,5,272,5,25,FALSE
5,0,5,34,1,5,FALSE
43,0,33,1400,3,256,TRUE
6,0,6,31,1,6,FALSE
7,0,7,63,3,8,FALSE
154,3,129,2792,1,489,TRUE
55,5,43,1299,1,214,TRUE
7,0,7,79,1,9,FALSE
5,0,5,63,1,5,FALSE
11,0,11,117,1,11,FALSE
30,1,26,2396,6,102,TRUE
7,0,7,101,1,7,FALSE
8,0,8,48,2,8,FALSE
7,2,5,1217,1,167,TRUE
12,0,12,125,1,12,FALSE
7,0,7,91,1,7,FALSE
9,4,3,2412,2,217,TRUE
8,0,8,81,1,8,FALSE
93,7,86,1494,1,289,TRUE
7,3,4,5126,7,181,TRUE
8,4,4,5349,7,185,TRUE
2,0,2,14,1,2,FALSE
10,0,10,78,2,10,FALSE
23,5,17,292,1,23,FALSE
22,0,23,224,1,22,FALSE
10,0,11,89,1,10,FALSE
15,0,15,115,1,15,FALSE
8,0,9,70,1,8,FALSE
75,5,70,1890,1,302,TRUE
82,13,68,1817,1,302,TRUE
38,13,25,1241,2,121,TRUE
43,38,5,1958,2,251,TRUE
36,2,34,818,1,118,FALSE
9,0,9,34,1,11,FALSE
13,0,13,67,1,13,FALSE
11,0,11,52,1,11,FALSE
14,0,15,68,1,14,FALSE
14,0,15,68,1,14,FALSE
9,0,8,429,1,50,TRUE
3,0,3,413,1,136,TRUE
4,0,2,20,1,4,FALSE
6,0,7,28,1,6,FALSE
1,1,0,69,1,1,FALSE
1,1,0,79,1,1,FALSE
14,0,15,59,1,14,FALSE
42,0,43,204,1,42,FALSE
14,0,14,59,1,14,FALSE
52,18,22,1320,6,135,TRUE
1,0,1,117,6,8,FALSE
9,0,9,47,1,9,FALSE
7,0,6,41,1,7,FALSE
4,0,4,22,1,4,FALSE
45,29,16,1134,2,172,TRUE
9,0,9,82,2,10,FALSE
9,0,9,43,1,11,FALSE
8,0,8,40,1,9,FALSE
6,1,3,33,1,7,FALSE
5,0,5,56,1,5,FALSE
8,0,8,47,1,8,FALSE
8,0,8,85,3,10,FALSE
25,0,25,214,1,28,FALSE
7,0,7,77,3,7,FALSE
7,0,7,76,3,7,FALSE
105,1,102,1950,2,263,TRUE
1,0,1,38,5,1,FALSE
12,0,12,147,1,12,FALSE
63,1,56,1562,1,263,TRUE
64,4,18,1635,3,372,TRUE
76,0,18,2345,2,393,TRUE
42,1,12,1513,2,273,TRUE
139,9,101,3585,1,742,TRUE
40,2,35,1093,1,93,FALSE
53,6,42,2060,5,185,TRUE
85,10,68,2167,2,279,TRUE
117,5,95,2711,1,334,TRUE
1,0,1,13,2,1,FALSE
1,0,1,33,2,1,FALSE
1,0,1,67,2,1,FALSE
1,0,1,42,2,1,FALSE
1,0,1,13,2,1,FALSE
46,4,35,1091,5,132,TRUE
46,33,13,1837,1,275,TRUE
8,0,8,64,2,8,FALSE
7,0,7,57,2,7,FALSE
66,50,16,3363,1,518,TRUE
1,1,0,270,1,1,FALSE
1,1,0,41,1,1,FALSE
38,3,34,1075,3,164,TRUE
54,3,49,1614,2,271,TRUE
23,11,9,1054,1,192,TRUE
34,0,12,2633,1,442,TRUE
14,0,14,121,1,14,FALSE
10,0,10,74,1,10,FALSE
14,8,6,1176,2,98,TRUE
33,22,10,3563,1,382,TRUE
11,8,3,1257,1,293,TRUE
42,16,26,1055,1,195,TRUE
43,0,42,1527,3,322,TRUE
11,2,0,1147,3,161,TRUE
67,16,23,2216,2,422,TRUE
37,11,6,1836,2,468,TRUE
10,1,8,2084,3,508,TRUE
86,27,0,4973,5,695,TRUE
20,0,17,99,1,21,FALSE
81,0,23,1854,1,390,TRUE
19,8,3,1268,2,257,TRUE
3,0,0,47,1,3,FALSE
22,0,1,1261,3,198,TRUE
67,1,57,1012,1,174,TRUE
73,1,0,6908,3,496,TRUE
61,0,46,1606,1,226,TRUE
1,1,0,65,1,1,FALSE
17,7,2,1040,3,139,TRUE
112,4,98,1626,3,246,TRUE
6,0,6,52,1,6,FALSE
52,8,36,3148,1,359,TRUE
1,1,0,43,1,1,FALSE
33,1,15,1801,2,182,TRUE
30,1,7,1421,1,242,TRUE
53,3,46,1662,1,227,TRUE
49,7,31,2030,1,261,TRUE
9,0,9,118,1,9,FALSE
21,0,21,335,1,21,FALSE
60,14,12,1399,5,215,TRUE
11,0,11,127,1,11,FALSE
16,0,16,214,1,16,FALSE
120,78,10,4156,1,729,TRUE
11,1,8,1648,1,165,TRUE
12,0,12,131,2,21,FALSE
20,7,13,1078,1,211,TRUE
17,5,10,1128,1,142,TRUE
63,7,33,4491,1,483,TRUE
1,0,1,8,1,1,FALSE
6,0,5,38,1,7,FALSE
1,0,2,16,1,1,FALSE
27,0,23,1469,2,99,FALSE
1,0,1,232,2,3,FALSE
29,8,21,541,2,89,TRUE
36,8,22,1485,1,212,TRUE
90,43,47,3392,1,553,TRUE
21,13,6,1201,1,226,TRUE
88,4,83,1210,1,176,TRUE
1,1,1,10,1,2,FALSE
201,5,187,3652,3,499,TRUE
29,6,23,1101,1,262,TRUE
45,14,25,1564,3,376,TRUE
40,28,12,1353,6,211,TRUE
5,1,4,61,4,5,FALSE
1,0,1,24,1,7,FALSE
8,0,9,17,2,8,FALSE
4,0,4,45,1,4,FALSE
64,10,45,1371,5,247,TRUE
26,9,12,1079,6,69,TRUE
11,0,11,27,1,11,FALSE
47,3,40,1008,2,122,TRUE
31,23,8,1881,7,74,TRUE
23,0,22,510,1,43,TRUE
3,0,3,38,1,3,FALSE
1,0,1,57,1,1,FALSE
27,4,15,1032,3,153,TRUE
7,0,0,106,1,7,FALSE
9,0,8,118,1,9,FALSE
11,0,6,142,1,11,FALSE
83,14,50,3547,2,411,TRUE
17,3,10,1052,5,92,TRUE
39,3,30,1699,4,228,TRUE
10,0,10,182,1,10,FALSE
45,1,43,1404,2,141,TRUE
3,0,3,22,1,3,FALSE
15,0,15,147,1,17,FALSE
1,1,0,38,2,1,FALSE
1,1,0,32,2,1,FALSE
1,1,0,43,2,1,FALSE
1,1,0,29,2,1,FALSE
1,1,0,105,2,1,FALSE
14,0,14,214,1,15,FALSE
8,0,8,83,2,8,FALSE
3,0,3,35,2,3,FALSE
3,0,3,37,2,3,FALSE
65,7,52,1600,1,235,TRUE
9,0,9,153,1,17,FALSE
4,0,4,17,1,4,FALSE
1,0,1,19,3,3,FALSE
5,0,5,15,1,5,FALSE
11,0,11,23,1,11,FALSE
7,0,7,83,1,7,FALSE
8,0,8,18,1,8,FALSE
13,0,13,30,1,13,FALSE
10,0,11,48,2,10,FALSE
8,0,8,52,1,13,FALSE
14,0,14,52,1,14,FALSE
6,0,6,15,1,6,FALSE
13,0,13,57,1,15,FALSE
10,0,11,22,1,10,FALSE
1,0,1,20,3,1,FALSE
68,3,60,1541,2,152,TRUE
7,3,4,135,1,20,FALSE
6,0,6,54,1,7,FALSE
5,0,5,44,1,5,FALSE
56,2,45,1099,1,122,TRUE
2,0,3,54,5,2,FALSE
29,0,25,533,4,50,FALSE
22,0,22,161,1,23,FALSE
19,0,19,94,1,25,FALSE
1,0,1,27,7,1,FALSE
5,0,5,70,1,5,FALSE
105,0,105,1747,3,502,TRUE
67,0,64,1692,4,333,TRUE
3,0,3,22,1,3,FALSE
31,1,31,287,1,35,FALSE
100,0,86,3545,1,481,TRUE
60,12,47,2091,5,298,TRUE
6,0,6,107,2,7,FALSE
1,0,1,17,2,2,FALSE
2,0,2,105,6,4,FALSE
78,8,60,2200,2,826,FALSE
2,0,0,25,7,6,FALSE
1,0,1,8,1,1,FALSE
395,0,393,4130,1,938,TRUE
1,0,1,7,5,1,FALSE
4,0,4,18,4,4,FALSE
34,5,28,1042,1,124,TRUE
